rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
12,University of Arkansas at Monticello,Arkansas,43500,78300,61,2
13,Arkansas Tech University,Arkansas,45000,76900,54,7
14,University of the Ozarks,Arkansas,42300,74500,58,16
15,Lyon College,Arkansas,41200,74300,53,33
17,University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22
18,Central Baptist College,Arkansas,36900,68000,NA,3
19,Philander Smith College,Arkansas,34600,61200,NA,26
1,Harvey Mudd College,California,88800,158200,55,85
3,California Institute of Technology,California,84100,151600,53,97
4,Stanford University,California,79000,145200,56,51
5,Charles R Drew University of Medicine and Science,California,78300,135700,NA,3
6,Santa Clara University,California,69900,134700,44,29
9,Claremont McKenna College,California,68500,125400,43,16
11,University of Southern California,California,64500,120600,47,23
13,Pomona College,California,63800,117200,47,37
17,San Jose State University,California,63000,114700,53,28
18,Loyola Marymount University,California,58500,113300,39,9
20,Menlo College,California,61900,112400,59,0
21,Saint Mary's College of California,California,59900,110800,51,5
23,University of San Francisco,California,60600,109900,52,6
25,University of San Diego,California,58900,109400,48,12
1,Colorado School of Mines,Colorado,75600,139600,60,93
3,University of Colorado Boulder,Colorado,57800,109900,48,39
4,University of Denver,Colorado,55700,105100,48,12
5,Colorado College,Colorado,53100,97900,48,23
8,Regis University,Colorado,55500,94800,58,13
9,University of Colorado Colorado Springs,Colorado,52200,90900,53,21
11,Metropolitan State University of Denver,Colorado,49400,87200,51,11
12,University of Northern Colorado,Colorado,47700,87100,52,7
13,Fort Lewis College,Colorado,48300,82600,55,19
14,Western State Colorado University,Colorado,44800,81500,47,19
14,Colorado Mesa University,Colorado,47800,81500,55,7
16,Adams State University,Colorado,44400,81400,56,3
17,Colorado Christian University,Colorado,46800,80100,70,2
19,Nazarene Bible College,Colorado,33600,60100,NA,0
1,Yale University,Connecticut,70300,138300,53,22
3,Wesleyan University,Connecticut,61600,117000,53,21
4,Fairfield University,Connecticut,62300,116900,41,17
5,Trinity College,Connecticut,60100,110900,49,22
6,University of Connecticut,Connecticut,59100,105200,48,24
7,University of Hartford,Connecticut,55200,101600,53,15
8,Connecticut College,Connecticut,57500,100800,36,30
9,Sacred Heart University,Connecticut,55000,100500,46,15
10,Quinnipiac University,Connecticut,55900,97700,46,10
11,University of New Haven,Connecticut,52100,94800,52,25
12,Central Connecticut State University,Connecticut,53100,93700,45,15
13,University of Bridgeport,Connecticut,49900,93600,59,31
14,University of Saint Joseph,Connecticut,49900,88800,63,9
15,Western Connecticut State University,Connecticut,51700,88100,50,6
17,Eastern Connecticut State University,Connecticut,49200,87800,43,14
18,Charter Oak State College,Connecticut,49200,85900,68,2
18,Albertus Magnus College,Connecticut,49700,85900,62,2
20,Southern Connecticut State University,Connecticut,48500,83600,51,6
1,University of Delaware,Delaware,58600,105400,43,22
2,Goldey-Beacom College,Delaware,49800,86900,42,25
3,Delaware State University,Delaware,46300,81900,62,10
4,Wesley College,Delaware,45400,77300,50,2
5,Wilmington University,Delaware,45100,76600,50,4
3,Florida Institute of Technology,Florida,58300,105400,53,48
4,University of Florida,Florida,55800,102800,52,29
6,University of Miami,Florida,56200,99600,48,22
8,Florida State University,Florida,50800,92700,49,18
11,Florida Atlantic University,Florida,49400,91200,51,15
12,Jacksonville University,Florida,50100,90400,66,5
13,Florida International University,Florida,49600,90100,51,16
14,Adventist University of Health Sciences,Florida,51600,89800,88,5
14,Nova Southeastern University,Florida,50200,89800,60,9
16,University of Central Florida,Florida,49700,88600,50,16
17,Eckerd College,Florida,49200,88400,52,25
18,Rollins College,Florida,49000,87000,53,7
19,University of North Florida,Florida,48800,86600,51,11
20,New College of Florida,Florida,47300,86500,40,4
21,Stetson University,Florida,47000,86000,44,7
22,Lynn University,Florida,46100,85000,45,2
24,Barry University,Florida,47400,84400,66,12
25,Florida Agricultural and Mechanical University,Florida,48000,83900,62,8
2,Emory University,Georgia,62000,110800,44,20
3,University of Georgia,Georgia,54400,100700,45,14
4,Morehouse College,Georgia,55700,98700,58,26
5,Kennesaw State University,Georgia,52500,94600,46,22
6,Oglethorpe University,Georgia,52400,91400,50,12
7,Georgia State University,Georgia,50600,90800,47,18
8,Georgia Southern University,Georgia,49000,88000,49,17
9,University of North Georgia,Georgia,47300,85600,51,8
10,Spelman College,Georgia,50200,85400,52,24
11,Mercer University,Georgia,48500,85100,62,14
12,Berry College,Georgia,44900,84900,44,21
13,Augusta University,Georgia,47000,84400,69,10
14,Agnes Scott College,Georgia,46000,83600,57,26
15,University of West Georgia,Georgia,46700,82700,51,9
16,Armstrong State University,Georgia,46600,81500,60,10
18,Clark Atlanta University,Georgia,46300,81100,54,15
19,Valdosta State University,Georgia,43400,81000,57,7
21,Savannah College of Art and Design,Georgia,46800,80100,34,3
22,Shorter University,Georgia,45600,79900,55,6
23,Middle Georgia State University,Georgia,44000,79800,57,11
24,Covenant College,Georgia,44400,79400,62,19
25,Columbus State University,Georgia,43300,77900,59,10
1,Brigham Young University-Hawaii,Hawaii,51700,93900,57,12
2,Hawaii Pacific University,Hawaii,52200,93500,56,15
3,University of Hawaii at Manoa,Hawaii,51600,91600,56,18
4,Chaminade University of Honolulu,Hawaii,45400,84000,55,3
5,University of Hawaii at Hilo,Hawaii,44000,77200,59,14
1,University of Idaho,Idaho,52300,97700,54,22
2,Brigham Young University-Idaho,Idaho,53700,93500,59,14
3,Idaho State University,Idaho,50800,91800,64,12
4,Boise State University,Idaho,50100,86400,55,14
6,Northwest Nazarene University,Idaho,46200,80600,68,7
7,Lewis-Clark State College,Idaho,44900,77600,60,5
1,Illinois Institute of Technology,Illinois,64600,118500,47,64
2,Northwestern University,Illinois,63400,115400,46,20
3,University of Illinois at Urbana-Champaign,Illinois,62600,115300,44,36
4,University of Chicago,Illinois,64000,114200,41,22
5,Rush University,Illinois,63500,107600,88,6
6,Bradley University,Illinois,55600,104900,46,38
7,University of Illinois at Chicago,Illinois,56300,103800,48,31
8,DePaul University,Illinois,55700,102900,43,15
9,Lake Forest College,Illinois,55400,102600,46,21
12,Illinois Wesleyan University,Illinois,53100,96000,44,18
12,Loyola University Chicago,Illinois,53400,96000,45,15
14,Northern Illinois University,Illinois,53000,95500,47,20
15,Knox College,Illinois,50600,95400,45,24
16,Illinois State University,Illinois,51200,95000,47,10
17,Principia College,Illinois,52600,94900,56,19
18,Lakeview College of Nursing,Illinois,55000,94100,83,0
19,North Central College,Illinois,50400,92900,45,9
20,Saint Xavier University,Illinois,49400,91200,60,10
23,Methodist College,Illinois,51400,90500,NA,0
25,Lewis University,Illinois,49700,89800,53,14
1,Rose-Hulman Institute of Technology,Indiana,75000,135800,51,96
2,University of Notre Dame,Indiana,67000,130500,45,28
3,Wabash College,Indiana,62200,114400,40,34
5,DePauw University,Indiana,56600,101000,47,24
6,Trine University,Indiana,55100,100300,56,26
7,Butler University,Indiana,51800,99300,53,9
8,Valparaiso University,Indiana,53300,98000,52,31
10,Taylor University,Indiana,48700,90600,59,16
11,University of Evansville,Indiana,50300,89900,54,17
12,Saint Mary's College,Indiana,49700,89300,54,15
13,Earlham College,Indiana,49100,88400,57,31
15,Holy Cross College,Indiana,48100,87800,NA,0
16,Franklin College,Indiana,48900,86200,45,21
17,Indiana State University,Indiana,47900,85600,55,8
18,Hanover College,Indiana,47500,85100,53,24
19,Indiana Institute of Technology,Indiana,50000,84900,46,11
20,Manchester University,Indiana,46900,84700,56,10
21,University of Indianapolis,Indiana,47300,84500,55,5
22,Ball State University,Indiana,45600,83700,48,7
1,Iowa State University,Iowa,56100,101300,48,31
2,Drake University,Iowa,52800,99900,49,7
3,University of Iowa,Iowa,54100,99400,48,16
4,Grinnell College,Iowa,53400,96500,49,41
5,Allen College,Iowa,51600,91300,NA,0
6,Cornell College,Iowa,49600,90600,47,22
7,Loras College,Iowa,48000,90100,56,14
8,Dordt College,Iowa,51000,89600,57,17
9,Central College,Iowa,49000,88800,55,36
11,Simpson College,Iowa,49900,88600,47,17
12,Wartburg College,Iowa,49300,88000,49,34
13,Coe College,Iowa,47200,86900,41,24
14,Luther College,Iowa,48200,85900,49,21
15,University of Northern Iowa,Iowa,47100,85300,46,8
16,Maharishi University of Management,Iowa,46800,85200,NA,65
18,Northwestern College,Iowa,44800,82400,42,11
19,Morningside College,Iowa,44900,82100,60,6
20,Clarke University,Iowa,44900,80200,52,6
21,University of Dubuque,Iowa,44200,79700,48,7
22,Mount Mercy University,Iowa,47200,79000,51,4
23,William Penn University,Iowa,43900,78300,59,7
24,Upper Iowa University,Iowa,44200,78000,56,3
1,University of Kansas,Kansas,53000,98600,52,16
2,Kansas State University,Kansas,52500,97200,51,18
3,Benedictine College,Kansas,48700,91800,69,13
6,Newman University,Kansas,48000,88500,66,11
7,Wichita State University,Kansas,48700,87300,57,24
8,Pittsburg State University,Kansas,47100,84900,51,8
10,Baker University,Kansas,47800,84200,55,2
12,Washburn University,Kansas,47000,83000,54,4
14,McPherson College,Kansas,44500,80900,59,9
15,Kansas Wesleyan University,Kansas,44700,79400,61,10
16,Fort Hays State University,Kansas,45100,79300,64,6
17,Sterling College,Kansas,42700,79100,73,7
18,MidAmerica Nazarene University,Kansas,46200,78500,60,1
19,Emporia State University,Kansas,43500,78000,60,9
20,Tabor College,Kansas,43300,77500,62,7
21,Friends University,Kansas,44700,76500,59,14
24,Manhattan Christian College,Kansas,39400,72200,NA,0
25,Central Christian College of Kansas,Kansas,37100,66100,NA,2
1,University of Kentucky,Kentucky,51700,96400,48,19
2,Thomas More College,Kentucky,50000,90900,56,8
3,Bellarmine University,Kentucky,49000,90700,54,11
4,Centre College,Kentucky,49500,88500,52,22
5,University of Louisville,Kentucky,49500,87600,50,18
6,Northern Kentucky University,Kentucky,49000,87400,46,12
7,Transylvania University,Kentucky,47900,85600,51,25
8,Western Kentucky University,Kentucky,45500,83100,49,10
9,Georgetown College,Kentucky,45000,81900,54,10
10,Brescia University,Kentucky,44300,81200,53,7
11,Eastern Kentucky University,Kentucky,45600,80700,56,5
12,Murray State University,Kentucky,44800,79900,56,9
13,Spalding University,Kentucky,44800,79200,71,0
14,Kentucky Wesleyan College,Kentucky,42100,76800,65,14
16,Morehead State University,Kentucky,41300,74900,56,9
17,University of the Cumberlands,Kentucky,39800,73800,63,8
18,Kentucky State University,Kentucky,40700,73100,57,13
19,Berea College,Kentucky,39500,71600,53,27
20,Asbury University,Kentucky,39400,70800,59,4
21,University of Pikeville,Kentucky,39000,70700,74,11
22,Kentucky Christian University,Kentucky,39600,70300,68,3
22,Midway University,Kentucky,39200,70300,53,3
24,Campbellsville University,Kentucky,37600,66800,50,7
25,Lindsey Wilson College,Kentucky,35300,64100,52,2
3,Louisiana Tech University,Louisiana,53100,100700,57,24
5,University of Louisiana at Monroe,Louisiana,48500,92500,65,7
5,University of Louisiana at Lafayette,Louisiana,48200,92500,52,19
7,University of New Orleans,Louisiana,49900,91600,55,23
9,Loyola University New Orleans,Louisiana,47900,88600,47,4
10,Centenary College of Louisiana,Louisiana,47000,88400,37,26
11,McNeese State University,Louisiana,50200,88200,57,13
11,Xavier University of Louisiana,Louisiana,46700,88200,63,35
13,University of Holy Cross,Louisiana,48400,86300,69,3
14,Nicholls State University,Louisiana,44500,84300,53,5
15,Southeastern Louisiana University,Louisiana,46700,83900,51,8
17,Louisiana College,Louisiana,44800,79800,58,4
17,Dillard University,Louisiana,44700,79800,74,20
21,Grambling State University,Louisiana,43100,73100,66,10
22,Southern University at New Orleans,Louisiana,40100,71000,76,13
23,New Orleans Baptist Theological Seminary,Louisiana,33900,61500,NA,0
1,Maine Maritime Academy,Maine,67000,121800,65,48
2,Bowdoin College,Maine,61300,112000,54,37
3,Bates College,Maine,59500,111900,50,23
4,Colby College,Maine,59200,103300,50,25
5,University of Maine,Maine,52000,95000,50,24
6,University of New England,Maine,50100,91500,69,7
7,Saint Joseph's College of Maine,Maine,46900,84300,60,2
8,Thomas College,Maine,46100,81500,49,3
9,University of Southern Maine,Maine,46900,81300,55,8
10,Husson University,Maine,43300,77600,52,1
11,University of Maine at Fort Kent,Maine,43500,76300,73,5
12,University of Maine at Augusta,Maine,41600,73100,61,7
13,University of Maine at Farmington,Maine,41100,71700,64,5
14,University of Maine at Presque Isle,Maine,39000,70700,58,6
15,Unity College,Maine,38200,69500,NA,23
16,University of Maine at Machias,Maine,37100,66200,47,13
17,Maine College of Art,Maine,36300,64600,37,0
2,Capitol Technology University,Maryland,67400,118400,63,88
3,Johns Hopkins University,Maryland,67200,117100,57,31
5,Loyola University Maryland,Maryland,59900,111200,40,8
7,St. John's College,Maryland,55900,101200,NA,0
10,Washington Adventist University,Maryland,55600,97600,63,9
12,McDaniel College,Maryland,51100,94600,54,6
13,Mount St. Mary's University,Maryland,50200,94100,50,11
14,Washington College,Maryland,52800,93500,55,21
15,Stevenson University,Maryland,50400,91600,51,15
16,Towson University,Maryland,51200,91200,47,15
17,Goucher College,Maryland,49400,90600,42,11
18,Bowie State University,Maryland,50300,89900,65,11
19,Salisbury University,Maryland,50400,89800,51,12
20,University of Baltimore,Maryland,51000,89600,56,2
21,Frostburg State University,Maryland,49600,87000,48,19
23,Notre Dame of Maryland University,Maryland,48300,86400,58,3
24,Maryland Institute College of Art,Maryland,49000,84500,40,0
25,Hood College,Maryland,47900,82600,49,32
1,Massachusetts Institute of Technology,Massachusetts,86300,155200,52,69
3,Worcester Polytechnic Institute,Massachusetts,73600,135500,47,86
4,Babson College,Massachusetts,72000,133800,37,0
5,Williams College,Massachusetts,67500,127500,47,32
6,MCPHS University,Massachusetts,65900,121800,71,2
7,Tufts University,Massachusetts,65200,118100,49,25
8,Massachusetts Maritime Academy,Massachusetts,67900,117500,53,47
9,Bentley University,Massachusetts,66600,116600,36,7
10,Amherst College,Massachusetts,63800,116500,45,32
11,Boston College,Massachusetts,63600,115400,43,13
12,College of the Holy Cross,Massachusetts,61800,114600,46,24
13,Boston University,Massachusetts,61400,113600,43,25
14,Brandeis University,Massachusetts,60600,113200,48,29
15,Wentworth Institute of Technology,Massachusetts,62700,112700,53,39
16,Northeastern University,Massachusetts,62500,109700,46,40
18,Wellesley College,Massachusetts,58900,106200,48,34
19,Stonehill College,Massachusetts,55900,103200,42,18
20,Western New England University,Massachusetts,56400,103000,44,21
22,Merrimack College,Massachusetts,56000,102500,50,13
23,Clark University,Massachusetts,52600,101400,47,14
24,Smith College,Massachusetts,52700,98200,51,26
1,Kettering University,Michigan,69900,125000,44,74
2,Michigan Technological University,Michigan,65000,116300,47,81
4,Lawrence Technological University,Michigan,57900,108400,49,60
5,Michigan State University,Michigan,55300,100800,46,20
7,Albion College,Michigan,52100,99300,44,23
8,Kalamazoo College,Michigan,51600,94500,52,31
9,Oakland University,Michigan,51300,93300,49,19
10,University of Detroit Mercy,Michigan,51800,92800,57,13
11,Western Michigan University,Michigan,50900,92200,47,16
12,Wayne State University,Michigan,50800,91700,53,21
13,Calvin College,Michigan,50200,91100,54,23
14,Hope College,Michigan,49200,90900,51,18
15,Alma College,Michigan,48400,89900,52,15
16,College for Creative Studies,Michigan,51200,89800,40,0
17,Ferris State University,Michigan,50000,89300,50,8
18,Eastern Michigan University,Michigan,47300,86700,50,6
20,Walsh College of Accountancy and Business Administration,Michigan,49400,85200,42,5
21,Andrews University,Michigan,47600,85000,51,7
22,Cleary University,Michigan,47400,84700,50,0
23,Central Michigan University,Michigan,47700,83600,46,13
24,Lake Superior State University,Michigan,45900,83500,48,14
25,Saginaw Valley State University,Michigan,46400,82200,54,12
1,Carleton College,Minnesota,58800,109900,47,45
6,Macalester College,Minnesota,53600,100400,51,31
7,Gustavus Adolphus College,Minnesota,51200,96800,47,22
11,Saint Cloud State University,Minnesota,51600,91600,50,15
12,Augsburg University,Minnesota,50500,91000,52,11
14,Hamline University,Minnesota,48100,90400,52,5
16,Winona State University,Minnesota,49700,86800,51,10
20,Metropolitan State University,Minnesota,50200,85900,53,11
24,Minneapolis College of Art and Design,Minnesota,47400,84700,39,0
1,Mississippi State University,Mississippi,51100,94100,57,27
2,University of Mississippi,Mississippi,48500,89100,55,12
3,Millsaps College,Mississippi,49300,88700,56,24
4,University of Southern Mississippi,Mississippi,45100,83900,56,11
5,Mississippi College,Mississippi,45200,79500,57,20
6,Jackson State University,Mississippi,41700,74600,67,16
7,Belhaven University,Mississippi,41200,74300,60,2
8,Delta State University,Mississippi,40800,74200,63,5
9,William Carey University,Mississippi,41100,71800,61,6
10,Alcorn State University,Mississippi,40900,69500,67,19
10,Mississippi University for Women,Mississippi,39500,69500,63,2
12,Tougaloo College,Mississippi,36900,66400,69,18
13,Rust College,Mississippi,34800,62400,76,32
14,Mississippi Valley State University,Mississippi,32500,61900,70,11
1,Missouri University of Science and Technology,Missouri,67300,122600,50,80
4,Saint Louis University,Missouri,54200,95300,56,13
6,William Jewell College,Missouri,51400,94500,60,12
7,Rockhurst University,Missouri,54000,92500,59,11
12,Truman State University,Missouri,47900,85800,48,16
13,Northwest Missouri State University,Missouri,46900,85100,50,26
14,Park University,Missouri,48500,85000,56,7
15,Webster University,Missouri,46500,83500,50,2
16,University of Central Missouri,Missouri,46900,83300,54,45
17,Avila University,Missouri,45900,81200,68,3
18,Maryville University of Saint Louis,Missouri,46800,80100,53,2
19,Drury University,Missouri,42600,79400,60,12
20,Southeast Missouri State University,Missouri,43700,79100,52,9
21,Lindenwood University,Missouri,45100,78500,48,9
22,Kansas City Art Institute,Missouri,42500,77700,37,0
22,Missouri Western State University,Missouri,43400,77700,53,14
24,Stephens College,Missouri,42800,77200,47,6
1,Montana Tech of the University of Montana,Montana,61200,112600,64,61
2,Montana State University,Montana,53700,96200,54,31
3,Carroll College,Montana,48200,91400,55,25
5,Rocky Mountain College,Montana,46000,82900,59,12
2,Creighton University,Nebraska,53500,95800,56,9
3,University of Nebraska Medical Center,Nebraska,53400,93000,79,6
4,Clarkson College,Nebraska,50900,91500,74,0
8,Hastings College,Nebraska,48600,87100,55,14
10,Bellevue University,Nebraska,49400,84800,57,23
12,Nebraska Wesleyan University,Nebraska,45700,80500,60,8
13,Midland University,Nebraska,43800,78100,60,7
14,College of Saint Mary,Nebraska,43900,77700,45,9
16,Chadron State College,Nebraska,42300,76700,66,3
17,Peru State College,Nebraska,42600,74800,50,6
18,Wayne State College,Nebraska,40600,73400,54,11
1,Sierra Nevada College,Nevada,54000,95500,39,2
1,Case Western Reserve University,Ohio,66600,117800,44,37
3,Wittenberg University,Ohio,52400,105400,61,22
4,University of Dayton,Ohio,57400,105000,44,33
5,Denison University,Ohio,54400,104800,45,22
6,Ohio Northern University,Ohio,54400,103900,49,22
7,Kenyon College,Ohio,55000,103800,50,17
8,Mount Carmel College of Nursing,Ohio,56600,99700,78,0
9,Ohio Wesleyan University,Ohio,51300,99200,46,21
11,John Carroll University,Ohio,51600,97300,39,16
13,Oberlin College,Ohio,53100,96800,47,21
14,Kettering College,Ohio,54300,95800,NA,0
15,Marietta College,Ohio,51200,94300,57,45
16,Xavier University,Ohio,51800,94000,46,7
18,University of Toledo,Ohio,51800,92500,52,21
21,Cleveland State University,Ohio,48300,88600,51,20
22,University of Mount Union,Ohio,48300,88500,41,19
1,University of Tulsa,Oklahoma,58700,107200,51,36
6,Southwestern Oklahoma State University,Oklahoma,47900,90800,58,5
7,Oklahoma City University,Oklahoma,47700,87900,58,9
7,Oklahoma Christian University,Oklahoma,49700,87900,57,41
9,Oral Roberts University,Oklahoma,45900,85100,59,8
10,University of Central Oklahoma,Oklahoma,45300,82900,56,8
11,Langston University,Oklahoma,46500,81500,66,8
11,Cameron University,Oklahoma,43900,81500,54,14
13,Southern Nazarene University,Oklahoma,46100,81000,62,5
14,Southeastern Oklahoma State University,Oklahoma,45000,80500,53,15
15,Oklahoma Wesleyan University,Oklahoma,43300,78700,58,1
16,Northeastern State University,Oklahoma,44500,77600,58,7
17,East Central University,Oklahoma,44700,77500,66,9
18,Northwestern Oklahoma State University,Oklahoma,42200,76800,55,11
19,Oklahoma Baptist University,Oklahoma,43900,76600,62,8
20,Oklahoma Panhandle State University,Oklahoma,42300,74400,54,10
21,Mid-America Christian University,Oklahoma,40700,74100,71,0
22,Rogers State University,Oklahoma,41400,73800,48,11
23,University of Science and Arts of Oklahoma,Oklahoma,37300,67400,49,11
1,Oregon Health & Science University,Oregon,65400,108300,79,10
2,Oregon Institute of Technology,Oregon,61200,106800,60,27
3,University of Portland,Oregon,58500,104900,52,28
3,Reed College,Oregon,56100,104900,44,26
5,Oregon State University,Oregon,56200,104800,53,34
6,Willamette University,Oregon,52200,97700,49,14
7,University of Oregon,Oregon,51800,95800,46,13
8,Pacific University,Oregon,50200,94000,66,8
10,Lewis & Clark College,Oregon,50000,93200,51,12
12,Portland State University,Oregon,50800,90500,48,16
13,George Fox University,Oregon,51200,89600,52,8
15,Pacific Northwest College of Art,Oregon,46300,85000,NA,0
16,Southern Oregon University,Oregon,46000,81200,54,6
17,Northwest Christian University,Oregon,45200,81100,62,5
19,Marylhurst University,Oregon,46200,79800,63,0
20,Western Oregon University,Oregon,44500,79300,50,5
21,Corban University,Oregon,42500,77300,63,1
22,Multnomah University,Oregon,40500,76400,82,0
23,Eastern Oregon University,Oregon,44000,73900,56,5
1,Carnegie Mellon University,Pennsylvania,75900,136100,45,66
2,Lehigh University,Pennsylvania,69500,134100,45,52
3,University of Pennsylvania,Pennsylvania,72800,133900,41,21
4,Swarthmore College,Pennsylvania,67500,123200,44,45
5,Bucknell University,Pennsylvania,66700,122900,40,40
6,Lafayette College,Pennsylvania,66500,122500,37,47
7,Villanova University,Pennsylvania,65100,119500,41,23
8,University of the Sciences,Pennsylvania,60700,115200,72,12
9,Drexel University,Pennsylvania,61700,114800,47,28
10,Haverford College,Pennsylvania,59300,112300,47,36
12,Gettysburg College,Pennsylvania,58400,109300,39,24
14,Saint Joseph's University,Pennsylvania,57300,105100,41,6
15,La Salle University,Pennsylvania,55800,104800,40,5
17,Muhlenberg College,Pennsylvania,53400,101900,43,20
18,Ursinus College,Pennsylvania,54400,101800,42,40
21,Dickinson College,Pennsylvania,55800,100100,46,25
21,Widener University,Pennsylvania,55700,100100,57,13
23,University of Scranton,Pennsylvania,56400,99700,42,12
24,Grove City College,Pennsylvania,54400,98400,53,29
1,Vanderbilt University,Tennessee,65400,119100,48,23
2,Rhodes College,Tennessee,51900,97800,46,25
4,Christian Brothers University,Tennessee,51500,96500,60,14
6,Tennessee Technological University,Tennessee,53100,95100,48,28
8,University of Memphis,Tennessee,47200,85800,55,12
9,Lipscomb University,Tennessee,49000,84800,59,12
10,Southern Adventist University,Tennessee,47500,84000,67,9
11,Fisk University,Tennessee,45300,83600,53,39
12,Union University,Tennessee,46400,83000,59,6
14,Trevecca Nazarene University,Tennessee,45300,81700,65,5
15,Middle Tennessee State University,Tennessee,46500,81100,52,9
16,Cumberland University,Tennessee,45500,81000,61,3
17,Belmont University,Tennessee,47300,80900,47,3
19,Tennessee State University,Tennessee,47200,78400,68,14
20,Freed-Hardeman University,Tennessee,43700,78200,54,9
20,Austin Peay State University,Tennessee,44200,78200,63,10
22,East Tennessee State University,Tennessee,43700,77300,57,8
23,Carson-Newman University,Tennessee,42700,76500,61,5
24,Maryville College,Tennessee,42800,75300,68,16
25,Milligan College,Tennessee,41200,74900,63,5
1,Rice University,Texas,71000,129500,50,45
2,The King's University,Texas,63800,116500,33,0
5,Southern Methodist University,Texas,59700,110400,46,22
7,Texas Tech University,Texas,56800,106500,54,22
8,Texas Tech University Health Sciences Center,Texas,61300,104900,86,3
9,University of Houston,Texas,56000,103900,50,24
11,Trinity University,Texas,54900,102900,46,27
12,Baylor University,Texas,55500,101400,49,16
13,Lamar University,Texas,53300,101200,57,16
17,Prairie View A&M University,Texas,57800,99400,65,22
18,LeTourneau University,Texas,56600,98900,53,21
19,Texas Christian University,Texas,56000,98700,51,9
20,Texas A&M University-Kingsville,Texas,53100,97500,63,53
21,University of Dallas,Texas,53000,96400,49,16
22,St. Mary's University,Texas,52900,95300,61,17
23,University of Houston-Clear Lake,Texas,50700,94800,48,29
24,Amberton University,Texas,52800,93600,57,0
25,Southwestern University,Texas,51800,93500,51,19
2,University of Utah,Utah,54800,102600,57,22
3,Weber State University,Utah,53900,94000,60,8
4,Utah State University,Utah,52400,93900,61,14
6,Western Governors University,Utah,54500,91500,57,9
7,Utah Valley University,Utah,51100,90600,57,12
8,Southern Utah University,Utah,46400,84400,65,7
1,Middlebury College,Vermont,60400,109800,54,19
2,University of Vermont,Vermont,53200,99400,50,22
3,Norwich University,Vermont,57000,99100,51,20
4,Saint Michael's College,Vermont,52900,98500,40,18
5,Vermont Technical College,Vermont,52400,93900,41,4
6,Bennington College,Vermont,48800,90000,50,5
7,Champlain College,Vermont,51100,88400,39,14
9,Southern Vermont College,Vermont,42900,78700,63,17
10,Goddard College,Vermont,42700,76900,NA,0
11,Castleton University,Vermont,41700,76200,52,6
12,Green Mountain College,Vermont,42000,75200,57,2
13,Lyndon State College,Vermont,41500,75100,49,8
1,Washington and Lee University,Virginia,65900,123200,40,18
2,Virginia Military Institute,Virginia,65900,120600,68,47
4,Virginia Polytechnic Institute and State University,Virginia,62700,114000,48,42
5,College of William and Mary,Virginia,59000,108900,42,21
6,Hampden-Sydney College,Virginia,58300,108600,52,20
7,University of Richmond,Virginia,59800,107500,48,13
8,George Mason University,Virginia,58900,105700,48,23
9,James Madison University,Virginia,57400,102600,42,12
10,University of Mary Washington,Virginia,54200,98200,49,17
11,Jefferson College of Health Sciences,Virginia,55500,97600,86,1
12,Marymount University,Virginia,52300,93100,44,15
13,Hampton University,Virginia,52700,92600,61,12
14,Old Dominion University,Virginia,50200,89900,52,19
16,Virginia Commonwealth University,Virginia,49900,88200,52,18
17,Christopher Newport University,Virginia,50800,87200,55,25
